year,PREYpre.her,logPREYpre.juvhake.0.1,PREYlarv,PREYlatelarv,PREDpjuv.age.0.csl,PREDpjuv.age.0.atf,logPRED.pjuv.age0.age1.hake,BIpre,NINOpre,NPGOpre_4_9,PDOpre,SPTRpre,BI,NINO1_4,NINO4_9,NPGO_1_4,NPGO_4_9,PDO_1_4,PDO_4_9,SPTR,STORM,STORMD,STORMB,CALM,CALMD,CALMB
1980,3713.288654,6.469354931,22761.346,1604.538676,14878,65478,4.127296952,0.85,0.2,-0.97,0.75,65,-0.42,0.43,0.26,-1.21,-0.62,0.95,0.55,76,13.65646259,5.361008868,35.231908,0.238095238,3.566326531,28.96003401
1981,1639.519137,7.032355836,23545.645,977.8768095,16701,70447,7.025121961,-0.42,0.26,-0.62,0.55,76,-0.93,-0.45,-0.25,-0.66,-0.28,1.12,1.06,83,11.23469388,5.395052843,45.15498664,0.302721088,4.847363946,36.24532313
1982,1430.918187,3.282130682,15260.096,520.7223016,20540,75233,2.927383623,-0.93,-0.25,-0.28,1.06,83,1.39,0.17,0.86,-0.69,-0.74,0.14,0.04,104,11.58163265,4.272603863,38.67611253,0.93877551,12.52338435,67.04209184
1983,1135.743324,3.555073647,4304.52,577.8059381,11595,82442,3.069254408,1.39,0.86,-0.74,0.04,104,-1.57,1.74,0.49,0.195,-0.34,1.42,2.05,91,13.75510204,4.497184767,35.99689423,0.636054422,8.694727891,63.05272109
1984,1982.131109,5.934608397,36367.32568,880.3969866,13550,89397,3.706561784,-1.57,0.49,-0.34,2.05,91,-1.72,-0.43,-0.33,0.515,0.75,1.5,0.58,109,11.56802721,6.460242549,43.48568999,0.299319728,6.151360544,26.54846939
1985,2567.424152,7.30418534,23162.289,1113.066477,15224,96783,7.302190865,-1.72,-0.33,0.75,0.58,109,1.78,-0.87,-0.62,0.2025,-0.09,0.74,0.45,45,11.47619048,5.183987285,42.59602972,0.863945578,9.762329932,48.69940476
1986,2938.147355,2.816782192,19584.009,1104.5989,17896,101771,2.563467587,1.78,-0.62,-0.09,0.45,45,-1.57,-0.38,0.16,-0.915,-0.81,1.62,0.9,86,11.43537415,4.963463719,42.46940901,0.989795918,15.67176871,55.91113946
1987,1982.937228,4.854573854,12790.908,874.4315147,19796,108123,2.868236118,-1.57,0.16,-0.81,0.9,86,-0.75,1.1,1.34,0.555,0.35,1.97,2,72,10.35034014,4.636591958,47.35033305,0.636054422,11.01955782,76.9672619
1988,5614.100257,6.396128935,19136.444,564.9966739,19452,113497,6.339934522,-0.75,1.34,0.35,2,72,-0.84,0.36,-0.99,1.1125,1.59,1.13,0.56,85,11.52721088,6.254595886,43.55257734,0.547619048,8.829931973,48.45790816
1989,1639.227078,5.279373356,15751.338,644.60556,23757,117770,5.269919296,-0.84,-0.99,1.59,0.56,85,0.64,-1.28,-0.42,0.92,0.74,-0.78,0.25,94,10.70748299,4.739332281,48.25712565,1.176870748,22.35544218,102.792517
1990,2308.520714,4.187435186,8412.408,491.7254766,25422,119888,2.576861189,0.64,-0.42,0.74,0.25,94,0.3,0.24,0.34,0.22,-0.11,-0.33,0.32,76,9.901360544,4.074943311,51.208635,1.139455782,17.88477891,83.78571429
1991,1837.336944,5.969144091,5822.766867,338.7299677,30747,114133,5.926472678,0.3,0.34,-0.11,0.32,76,0.39,0.28,0.55,-0.515,-0.44,-1.24,-0.35,62,11.81292517,6.01441529,47.5144487,0.697278912,13.7712585,35.17091837
1992,3973.933425,4.764008972,3116.333,511.0107568,22364,109145,4.74747864,0.39,0.55,-0.44,-0.35,62,-0.72,1.56,0.58,-0.555,-1.37,0.45,1.29,64,13,3.719088111,40.96905673,0.928571429,12.97193878,104.7678571
