year,ASTpjuv.age.0,CSTpjuv.age.0.s,CSTpjuv.age.0.n,UWpjuv.age.0.cs,UWpjuv.age.0.cn,UWpjuv.age.0.bs,UWpjuv.age.0.bn,DDpjuv.age.0,SSH.ms.s,SSH.ms.c,EKE.ms.s,EKE.ms.c
1980,-0.003964955,-0.003126776,-0.002040726,0.369498947,0.566998158,0.926091842,4.504120789,301.15,0.116427895,0.05113,0.007445763,0.017057711
1981,0.002246621,-0.004034558,-0.003057866,0.290427482,0.577694474,0.372779,6.091381579,330.39,0.112928421,0.021894132,0.011217421,0.025206579
1982,-0.020231961,-0.005756803,-0.004362347,0.275890789,0.488672895,0.617933711,5.098444737,333.78,0.148198947,0.074349368,0.010624842,0.018555684
1983,-0.018504385,-0.003580785,-0.006815231,0.283448974,0.527650179,0.383497949,3.096248462,406.21,0.217533333,0.150025385,0.011862308,0.014661615
1984,-0.014720632,0.001087697,-0.004207724,0.245569211,0.454830789,0.373943855,4.640835789,379.84,0.165985789,0.095639211,0.009231974,0.027363947
1985,-0.022209474,-0.001722553,-0.001153121,0.244175684,0.412965974,0.474117632,3.728778947,346.47,0.121380263,0.061077237,0.008958921,0.013086711
1986,-0.017661795,-0.004053513,-0.005431187,0.257981538,0.438280769,0.385359487,4.056971795,344.45,0.137998974,0.07840641,0.009255487,0.012188513
1987,0.022630184,-0.003940655,0.000840195,0.226581211,0.394666842,0.305788313,2.662384474,351.34,0.144874737,0.077770711,0.008879342,0.0147635
1988,0.017287929,2.99E-05,0.001050834,0.353667816,0.653692895,0.844626842,6.816286316,312.7,0.076362368,0.014230158,0.008280263,0.015971789
1989,0.032831205,-0.000406523,0.000425977,0.403761282,0.732936154,0.823141282,7.479338718,334.48,0.122716923,0.041573385,0.009500308,0.013886923
1990,0.025936763,-0.000953934,0.001476016,0.367174816,0.532179211,0.425325789,3.616207105,348.81,0.128296842,0.057752711,0.010324316,0.010666158
1991,0.009392474,-3.71E-05,-0.000665745,0.359187105,0.61515,1.299306368,8.466213158,307.29,0.108948947,0.044638921,0.006431526,0.012436579
1992,0.044807179,-0.000144874,0.001933192,0.355359744,0.556154872,0.258722564,2.195713333,385.92,0.154146154,0.077135128,0.010583821,0.008428487
1993,0.051272,0.001206191,0.005213721,0.313945,0.558636579,0.344388421,3.176671053,364.3,0.162791579,0.082962895,0.008608395,0.011061868
1994,0.035084158,0.000542655,0.002748205,0.302629474,0.684376316,0.527466132,6.343849474,345.44,0.144303158,0.0541473,0.010017895,0.012720684
1995,0.040193658,-0.002682471,0.002207758,0.315921842,0.716615789,0.61877,5.070786842,339.46,0.127299737,0.054626474,0.008799789,0.011163947
1996,0.024276132,-0.000573166,-0.000932655,0.307280263,0.690730526,0.370466316,7.576378947,350.36,0.129582895,0.046688161,0.009087211,0.010188132
1997,0.038831071,-0.001169918,0.001944789,0.304560526,0.554048545,0.253591842,3.177790711,392.11,0.202668421,0.124786316,0.008340342,0.009658658
1998,0.009444092,0.000235103,0.001337613,0.353748684,0.582109211,0.387298421,2.687931579,373.09,0.133908684,0.061780526,0.010949342,0.010516684
1999,0.014114867,-0.001859095,-0.002159626,0.416461026,0.682801282,0.878250769,8.947062821,336.1,0.101181538,0.019531821,0.006664128,0.013674359
2000,-0.011693289,-0.000126445,-0.002572108,0.408155737,0.697422105,0.562356474,6.295292105,349.54,0.124889737,0.047120668,0.008132684,0.013807553
2001,0.013961868,-0.000533434,-0.002640597,0.355904737,0.855440789,0.481583184,8.582826316,332.29,0.108654474,0.024997142,0.007761053,0.011491421
2002,0.009236259,0.000304743,-0.002917918,0.483893846,0.866251282,1.419025897,9.96841,333.19,0.102116154,0.029157551,0.007476077,0.013039821
2003,0.017392263,-0.001268489,-0.000588421,0.528816842,0.894531579,1.080852368,7.557728947,345.43,0.108017105,0.035327842,0.009072105,0.016961868
2004,0.024942921,-0.001824263,-4.52E-06,0.603839211,0.855905526,0.907897632,7.275433947,359.47,0.131576579,0.054904334,0.007475632,0.014556658
2005,0.041063846,-0.001329705,0.001018372,0.539578462,0.797514615,0.912931026,6.044760769,347.51,0.115260256,0.044649,0.012665051,0.009327821
2006,0.021402518,-0.001703761,-0.001500384,0.507192132,0.831893947,0.702993947,6.744289474,356.7,0.119818421,0.051003974,0.008078421,0.013416105
2007,0.036345824,-0.001828416,-0.000486853,0.571602526,0.816645263,1.262790263,7.764310526,340.68,0.103350789,0.030297239,0.008869737,0.01164
2008,0.006907551,-0.000732051,-0.00280726,0.44032641,0.768404872,1.203662051,10.76451051,354.77,0.118742821,0.039636128,0.009638744,0.016281333
2009,0.005600853,2.72E-05,8.36E-05,0.429058842,0.641654474,0.735315526,5.592691316,352.26,0.119990526,0.052139763,0.007527263,0.011347553
2010,0.04808785,0.000298932,0.000422274,0.534511263,0.832607105,1.962600132,11.37448789,305.69,0.104027895,0.031269289,0.008981132,0.016507263
