year,MLDegg,CSTegg.s.s,CSTegg.n.s,LSTegg.s,PUegg,DDegg.s,SSH.ja.s,SSH.ja.c,EKE.ja.s,EKE.ja.c
1980,35.026,0.00522568,0.003959845,0.0143153,0.02581245,175.74,0.143940357,0.113201071,0.007221071,0.016159536
1981,39.05545455,0.003780173,-0.004772591,0.004729473,0.006639655,193.71,0.113103333,0.089839247,0.009982933,0.015262933
1982,39.96695652,0.0019172,0.001176883,-0.015439478,-0.001391865,182.54,0.106577333,0.096736333,0.0073513,0.0135856
1983,54.43956522,0.009136791,-0.004212826,-0.013022913,-0.007911043,232.5,0.171638,0.162089333,0.0115438,0.021647267
1984,41.65227273,0.000726632,0.000547727,-0.005126909,0.032181991,192.96,0.133645333,0.091695667,0.0066316,0.019127267
1985,47.00347826,0.010925696,0.010716757,-0.000618083,0.010801787,183.49,0.091329333,0.050386967,0.006751067,0.013809467
1986,35.18521739,-0.001294548,-0.005170739,-0.008999174,-0.015404739,187.63,0.111735667,0.101995,0.006527467,0.014904567
1987,46.58636364,0.003214073,-3.11E-05,-0.001920182,0.037605,195.26,0.137982333,0.099088667,0.0072342,0.013824967
1988,41.55173913,0.007702087,-0.001444148,-0.005429696,0.01469087,185.7,0.106269667,0.06195715,0.006552433,0.0123928
1989,40.02086957,0.008030261,0.006990391,0.01611613,0.039981435,158.19,0.069595333,0.0323369,0.005419733,0.009898533
1990,41.00318182,-0.004165705,0.009149305,0.014758177,0.009506227,170.95,0.106192333,0.054552333,0.0048663,0.0090562
1991,42.39318182,-0.001637986,0.000718568,0.013326273,-0.008206318,178.83,0.116491333,0.065096267,0.005700367,0.010647
1992,41.36956522,0.001610122,0.002700843,0.031527043,0.007860048,206.95,0.202173333,0.167470667,0.006920367,0.014005933
1993,39.62590909,0.004924727,0.000624464,0.005825318,0.012447273,194.29,0.141527667,0.118403733,0.006315933,0.012842667
1994,43.08454545,0.002396732,0.006718332,0.010727805,0.024695827,198.21,0.125317667,0.082683133,0.006257667,0.0093497
1995,38.62521739,-0.003931448,0.010714439,0.021096783,0.015051287,203.93,0.142930333,0.1319111,0.009074033,0.021927533
1996,34.04173913,-0.006101043,-0.002714504,-0.0100473,-0.003700696,191.03,0.08836,0.076775484,0.007580387,0.012425419
1997,35.57954545,0.000179545,0.003530068,0.010684627,0.0254015,173.49,0.094811,0.0545682,0.005267567,0.0138292
1998,57.02347826,0.003244652,-0.004068139,-0.023690652,0.000249783,242.66,0.150938333,0.1358397,0.008979933,0.0171176
1999,46.8926087,0.003234281,0.008620213,-0.004997939,0.021907696,178.98,0.052653,0.01822095,0.007671267,0.013728867
2000,36.81090909,-0.006499264,-0.002826105,0.010803782,-0.006114209,165.87,0.074360667,0.0555741,0.007281,0.015603433
2001,41.01434783,0.001703191,0.004721774,0.015462252,0.014398913,176.03,0.083554667,0.045096633,0.004239933,0.012995333
2002,44.44608696,0.001297204,0.000608652,0.015615261,0.031839578,176.88,0.090584,0.053312263,0.004484167,0.0106473
2003,45.54,-0.001505068,-0.007029786,-0.022924773,-0.022308718,198.87,0.082432667,0.065578667,0.006755967,0.0143577
2004,43.91434783,4.44E-05,0.000150513,0.001703022,-0.008032822,191.88,0.107558667,0.086185,0.0060043,0.014324067
2005,43.10869565,0.008417322,-0.005211991,-0.005452043,-0.011800478,208.45,0.125873667,0.1033706,0.006078433,0.012870267
2006,40.89772727,0.002749186,-0.0030351,-0.011506136,0.009306727,169.18,0.063861333,0.070995,0.006515167,0.0148016
2007,50.80409091,0.003585923,0.003195482,0.003580418,-0.014934727,185.25,0.079137667,0.034452293,0.004616633,0.014116833
2008,47.65695652,0.002693278,-0.009512774,0.002928304,-0.013680939,172.97,0.05445665,0.017932067,0.006346233,0.01475
2009,45.86363636,-0.002049345,0.004098591,0.0203225,0.002739409,174.48,0.095698,0.048882367,0.005294367,0.0172233
2010,52.61681818,0.002405055,-0.006211027,-0.013956955,-0.012012273,201.23,0.118942667,0.112594107,0.008561767,0.0166828
