year,MLDlarv,ASTlarv,CSTlarv.s,CSTlarv.n,PUlarv,UWlarv.cs,UWlarv.cn,UWlarv.bs,UWlarv.bn,DDlarv,SSH.ja.s,SSH.ja.c,EKE.ja.s,EKE.ja.c
1980,32.61666667,0.009178987,-0.00056891,0.00527688,0.016142617,0.297423667,0.685838,0.997706333,6.18725,159.111,0.143940357,0.113201071,0.007221071,0.016159536
1981,35.052,0.01963418,0.00019897,0.005041963,0.035447123,0.237380667,0.642419667,0.848181667,6.599272467,161.306,0.113103333,0.089839247,0.009982933,0.015262933
1982,33.56533333,0.00360558,0.00074446,0.0082298,0.00217177,0.289774667,0.534034933,1.174803333,5.202096667,159.023,0.106577333,0.096736333,0.0073513,0.0135856
1983,43.86233333,-0.000231517,0.00037989,-0.00078855,0.035068067,0.318913333,0.5848491,0.700931667,2.978632667,198.78,0.171638,0.162089333,0.0115438,0.021647267
1984,36.4316129,0.009780548,-0.006146945,0.002813126,0.028351897,0.356601645,0.756646065,1.123460097,9.419122581,162.631,0.133645333,0.091695667,0.0066316,0.019127267
1985,40.261,-0.00162183,0.003421503,0.00315488,-0.007894163,0.301911133,0.578531667,1.605416,7.85822,156.857,0.091329333,0.050386967,0.006751067,0.013809467
1986,31.23033333,0.010024677,-0.001899513,0.0045663,0.016121533,0.253148333,0.622696667,0.686889333,5.479066667,158.072,0.111735667,0.101995,0.006527467,0.014904567
1987,38.65566667,0.000472977,0.006422183,0.003675993,0.0320173,0.264296367,0.530884667,0.792218667,4.871333333,170.04,0.137982333,0.099088667,0.0072342,0.013824967
1988,32.148,0.002378117,0.00382242,0.002837603,0.028883367,0.377834667,0.759402333,1.278936667,8.2847567,157.533,0.106269667,0.06195715,0.006552433,0.0123928
1989,30.721,0.021202433,-0.000673957,0.005004413,0.045839767,0.4074883,0.648218667,2.031149333,8.460213333,141.071,0.069595333,0.0323369,0.005419733,0.009898533
1990,33.285,0.022844733,-0.00221552,0.011305567,0.0274593,0.3422114,0.589027033,1.298195333,7.698463,153.251,0.106192333,0.054552333,0.0048663,0.0090562
1991,34.86366667,0.013402167,-0.00412613,0.008926603,0.007955267,0.472786667,0.838463333,2.465633333,13.53036667,147.931,0.116491333,0.065096267,0.005700367,0.010647
1992,30.30366667,0.010149917,0.001121923,-0.001634893,0.019236537,0.251557333,0.306933467,0.274947,1.185699333,177.49,0.202173333,0.167470667,0.006920367,0.014005933
1993,31.44666667,0.014179917,0.003668363,0.008742303,0.045702067,0.408379667,0.497617333,0.96499,4.78974,159.169,0.141527667,0.118403733,0.006315933,0.012842667
1994,35.05933333,0.0311004,-0.004341713,0.014636693,0.0351888,0.307199833,0.647146667,1.094331,5.79057,159.622,0.125317667,0.082683133,0.006257667,0.0093497
1995,31.47066667,0.015903533,-0.00260054,0.002095233,0.011512953,0.242886333,0.528530667,0.851858,5.316999333,168.825,0.142930333,0.1319111,0.009074033,0.021927533
1996,28.26666667,0.01047899,-0.005102,0.0021139,0.025447767,0.3640663,0.595723333,0.952193333,5.188443333,151.436,0.08836,0.076775484,0.007580387,0.012425419
1997,28.64666667,0.042892833,-0.0059418,0.012867603,0.051418333,0.3899409,0.873153667,1.177348,10.15599667,151.953,0.094811,0.0545682,0.005267567,0.0138292
1998,44.15233333,-0.00233612,0.00338662,0.0050668,0.041581,0.440274,0.813889667,0.819025333,4.362614333,196.9,0.150938333,0.1358397,0.008979933,0.0171176
1999,43.02433333,0.01741847,-0.009985067,0.010967317,0.0433459,0.422555033,0.89841,2.745534333,15.2931,154.198,0.052653,0.01822095,0.007671267,0.013728867
2000,30.41483871,0.018828752,-0.008562516,0.002232087,0.010078206,0.385493226,0.744677742,1.651883871,9.444,151.035,0.074360667,0.0555741,0.007281,0.015603433
2001,35.97633333,0.026420667,-0.003930393,0.006369517,0.027418267,0.346434367,0.752496667,2.181786333,10.613,148.402,0.083554667,0.045096633,0.004239933,0.012995333
2002,38.88666667,0.0315003,-0.002746307,0.008493393,0.0318709,0.567508667,0.762074767,3.493966667,11.03862,145.023,0.090584,0.053312263,0.004484167,0.0106473
2003,38.32133333,0.0028659,0.00079881,0.001428807,0.005159777,0.513050667,0.913294333,2.335564667,9.134146667,156.886,0.082432667,0.065578667,0.006755967,0.0143577
2004,34.93533333,0.024143367,-0.003381013,0.004703487,0.020840837,0.642232967,0.81232,2.031123333,9.2698,154.2,0.107558667,0.086185,0.0060043,0.014324067
2005,35.16266667,0.008919333,0.003828813,0.000418833,0.0275543,0.539349667,0.687175667,1.725061,5.953211333,167.44,0.125873667,0.1033706,0.006078433,0.012870267
2006,33.379,0.018403067,-0.0031535,0.011133533,0.0221262,0.3917057,0.75898212,1.970293667,7.13614,143.821,0.063861333,0.070995,0.006515167,0.0148016
2007,41.368,0.019555933,-0.000339863,0.009541657,0.018352333,0.6272072,0.962742667,3.301367333,13.90196667,154.358,0.079137667,0.034452293,0.004616633,0.014116833
2008,41.35933333,0.0212162,-0.001175643,0.007658857,0.015451833,0.677578333,1.157407667,4.74728,21.1279,145.793,0.05445665,0.017932067,0.006346233,0.01475
2009,38.78733333,0.027545167,-0.001598093,0.008153847,0.0284616,0.4319632,0.694140667,2.438668,11.46006333,154.324,0.095698,0.048882367,0.005294367,0.0172233
2010,44.23933333,0.006735933,0.004241619,0.008039,0.027935067,0.598783,0.89082,2.67898,10.43851667,165.508,0.118942667,0.112594107,0.008561767,0.0166828
