year,MLDlatelarv,ASTlatelarv,CSTlatelarv.s,CSTlatelarv.n,PUlatelarv,UWlatelarv.cs,UWlatelarv.cn,UWlatelarv.bs,UWlatelarv.bn,DDlatelarv,SSH.ja.s,SSH.ja.c,SSH.ms.s,SSH.ms.c,EKE.ja.s,EKE.ja.c,EKE.ms.s,EKE.ms.c
1980,29.32903226,0.014572774,-0.003011206,0.006793971,0.026769226,0.417830968,0.764329032,1.435314516,7.189274194,133.815,0.143940357,0.113201071,0.116427895,0.05113,0.007221071,0.016159536,0.007445763,0.017057711
1981,30.18833333,0.024308667,-0.00327756,0.0078529,0.04128,0.303892333,0.729877667,0.978751667,7.884956667,134.546,0.113103333,0.089839247,0.112928421,0.021894132,0.009982933,0.015262933,0.011217421,0.025206579
1982,29.471,0.012295367,-0.001704163,0.011325433,0.0206611,0.316468,0.4882881,1.186826667,5.247836667,134.324,0.106577333,0.096736333,0.148198947,0.074349368,0.0073513,0.0135856,0.010624842,0.018555684
1983,33.97387097,0.016780129,-0.005264548,0.003796013,0.031107677,0.343970645,0.617067419,0.720472903,3.693970968,163.599,0.171638,0.162089333,0.217533333,0.150025385,0.0115438,0.021647267,0.011862308,0.014661615
1984,31.65833333,0.019064933,-0.009145167,0.004675633,0.037167533,0.35954,0.720096667,1.048709333,9.5965,129.868,0.133645333,0.091695667,0.165985789,0.095639211,0.0066316,0.019127267,0.009231974,0.027363947
1985,33.85266667,0.00695653,-0.000611357,0.000435623,0.008958367,0.3205638,0.547899667,1.591562667,7.84312,129.792,0.091329333,0.050386967,0.121380263,0.061077237,0.006751067,0.013809467,0.008958921,0.013086711
1986,27.43612903,0.013204455,-0.002497352,0.007970061,0.029558752,0.283670323,0.605692903,0.757007419,5.930486129,138.796,0.111735667,0.101995,0.137998974,0.07840641,0.006527467,0.014904567,0.009255487,0.012188513
1987,32.71935484,0.013280774,0.004490403,0.010033584,0.061918387,0.247086903,0.427969032,0.693755806,4.261406452,143.645,0.137982333,0.099088667,0.144874737,0.077770711,0.0072342,0.013824967,0.008879342,0.0147635
1988,28.30366667,0.01108794,0.001758267,0.008594547,0.039454667,0.433999667,0.825106333,1.408376667,9.811856667,129.274,0.106269667,0.06195715,0.076362368,0.014230158,0.006552433,0.0123928,0.008280263,0.015971789
1989,26.28354839,0.032041903,-0.004714058,0.007210123,0.056809742,0.453982548,0.65329,1.856922581,8.087251613,125.773,0.069595333,0.0323369,0.122716923,0.041573385,0.005419733,0.009898533,0.009500308,0.013886923
