year,TEMPpre,DDpre,UWpre.a,UWpre.b,TEMPspawn,DDspawn,MLDegg,CSTegg.s.s,CSTegg.s.d,CSTegg.n.s,CSTegg.n.d,ASTegg.s,ASTegg.d,PUegg,DDegg.s,DDegg.d,MLDyolk,CSTyolk.s,CSTyolk.n,ASTyolk,PUyolk,DDyolk,ASTlarv.zp,MLDlarv,ASTlarv,CSTlarv.s,CSTlarv.n,PUlarv,UWlarv.cs,UWlarv.cn,UWlarv.bs,UWlarv.bn,DDlarv,ASTlatelarv.zp,MLDlatelarv,ASTlatelarv,CSTlatelarv.s,CSTlatelarv.n,PUlatelarv,UWlatelarv.cs,UWlatelarv.cn,UWlatelarv.bs,UWlatelarv.bn,DDlatelarv,ASTpjuv.age.0,CSTpjuv.age.0.s,CSTpjuv.age.0.n,UWpjuv.age.0.cs,UWpjuv.age.0.cn,UWpjuv.age.0.bs,UWpjuv.age.0.bn,DDpjuv.age.0,SSH.ja.s,SSH.ja.c,SSH.ja.n,SSH.ms.s,SSH.ms.c,SSH.ms.n,EKE.ja.s,EKE.ja.c,EKE.ja.n,EKE.ms.s,EKE.ms.c,EKE.ms.n
1980,NA,NA,NA,NA,7.94975,58.995,35.026,0.00522568,0.00096913,0.003959845,0.00459201,0.0143153,0.01769836,0.02581245,175.74,116.69,34.43964286,0.002540754,0.003942914,0.009004786,0.015300661,194.89,0.009178987,32.61666667,0.009178987,-0.00056891,0.00527688,0.016142617,0.297423667,0.685838,0.997706333,6.18725,159.111,0.014572774,29.32903226,0.014572774,-0.003011206,0.006793971,0.026769226,0.417830968,0.764329032,1.435314516,7.189274194,133.815,-0.003964955,-0.003126776,-0.002040726,0.369498947,0.566998158,0.926091842,4.504120789,301.15,0.143940357,0.113201071,0.141840321,0.116427895,0.05113,0.033557016,0.007221071,0.016159536,0.013085179,0.007445763,0.017057711,0.016286368
1981,7.585555556,139.62,0.340122037,2.294760741,7.999318182,65.985,39.05545455,0.003780173,-0.001407091,-0.004772591,-0.003055339,0.004729473,0.010960727,0.006639655,193.71,130.29,38.12966667,0.003594387,-0.002183137,0.00476151,0.02010208,210.73,0.01963418,35.052,0.01963418,0.00019897,0.005041963,0.035447123,0.237380667,0.642419667,0.848181667,6.599272467,161.306,0.024308667,30.18833333,0.024308667,-0.00327756,0.0078529,0.04128,0.303892333,0.729877667,0.978751667,7.884956667,134.546,0.002246621,-0.004034558,-0.003057866,0.290427482,0.577694474,0.372779,6.091381579,330.39,0.113103333,0.089839247,0.126419,0.112928421,0.021894132,0.017137763,0.009982933,0.015262933,0.012281033,0.011217421,0.025206579,0.027880632
1982,7.678703704,144.65,0.348958167,2.070187778,7.77126087,63.739,39.96695652,0.0019172,0.000591821,0.001176883,0.004934657,-0.015439478,-0.00107827,-0.001391865,182.54,127.43,38.93333333,0.002176407,0.006357053,-0.005970387,0.002516237,202.59,0.00360558,33.56533333,0.00360558,0.00074446,0.0082298,0.00217177,0.289774667,0.534034933,1.174803333,5.202096667,159.023,0.012295367,29.471,0.012295367,-0.001704163,0.011325433,0.0206611,0.316468,0.4882881,1.186826667,5.247836667,134.324,-0.020231961,-0.005756803,-0.004362347,0.275890789,0.488672895,0.617933711,5.098444737,333.78,0.106577333,0.096736333,0.117960667,0.148198947,0.074349368,0.058673447,0.0073513,0.0135856,0.0088347,0.010624842,0.018555684,0.020288053
1983,7.598415094,137.716,0.36008,3.09711434,8.699913043,85.098,54.43956522,0.009136791,0.005262026,-0.004212826,-0.002973139,-0.013022913,-0.004445052,-0.007911043,232.5,171.66,51.46966667,0.0053168,-0.001561063,-0.0119943,0.0058572,265.06,-0.000231517,43.86233333,-0.000231517,0.00037989,-0.00078855,0.035068067,0.318913333,0.5848491,0.700931667,2.978632667,198.78,0.016780129,33.97387097,0.016780129,-0.005264548,0.003796013,0.031107677,0.343970645,0.617067419,0.720472903,3.693970968,163.599,-0.018504385,-0.003580785,-0.006815231,0.283448974,0.527650179,0.383497949,3.096248462,406.21,0.171638,0.162089333,0.197271333,0.217533333,0.150025385,0.1371,0.0115438,0.021647267,0.026159533,0.011862308,0.014661615,0.011491051
1984,8.129490566,165.863,0.294613774,0.883299057,7.617818182,57.592,41.65227273,0.000726632,-0.004181873,0.000547727,0.003557164,-0.005126909,0.005637245,0.032181991,192.96,129.31,40.18166667,-0.000716633,0.000877807,-0.00315884,0.02992946,212.97,0.009780548,36.4316129,0.009780548,-0.006146945,0.002813126,0.028351897,0.356601645,0.756646065,1.123460097,9.419122581,162.631,0.019064933,31.65833333,0.019064933,-0.009145167,0.004675633,0.037167533,0.35954,0.720096667,1.048709333,9.5965,129.868,-0.014720632,0.001087697,-0.004207724,0.245569211,0.454830789,0.373943855,4.640835789,379.84,0.133645333,0.091695667,0.114772367,0.165985789,0.095639211,0.085126478,0.0066316,0.019127267,0.010449533,0.009231974,0.027363947,0.013537158
1985,7.668796296,144.115,0.308153889,1.588934444,7.80773913,64.578,47.00347826,0.010925696,0.004157504,0.010716757,0.008387565,-0.000618083,0.009320061,0.010801787,183.49,130.37,44.96033333,0.007862567,0.00599576,-0.00298493,-0.000270297,202.87,-0.00162183,40.261,-0.00162183,0.003421503,0.00315488,-0.007894163,0.301911133,0.578531667,1.605416,7.85822,156.857,0.00695653,33.85266667,0.00695653,-0.000611357,0.000435623,0.008958367,0.3205638,0.547899667,1.591562667,7.84312,129.792,-0.022209474,-0.001722553,-0.001153121,0.244175684,0.412965974,0.474117632,3.728778947,346.47,0.091329333,0.050386967,0.047031537,0.121380263,0.061077237,0.045226,0.006751067,0.013809467,0.010607067,0.008958921,0.013086711,0.016846421
1986,7.496075472,132.292,0.371947404,2.41899234,7.952826087,67.915,35.18521739,-0.001294548,-0.003149196,-0.005170739,-0.003948957,-0.008999174,0.000285848,-0.015404739,187.63,130.34,33.867,-0.001612407,-5.26E-05,-0.00229021,-0.009415867,202.5,0.010024677,31.23033333,0.010024677,-0.001899513,0.0045663,0.016121533,0.253148333,0.622696667,0.686889333,5.479066667,158.072,0.013204455,27.43612903,0.013204455,-0.002497352,0.007970061,0.029558752,0.283670323,0.605692903,0.757007419,5.930486129,138.796,-0.017661795,-0.004053513,-0.005431187,0.257981538,0.438280769,0.385359487,4.056971795,344.45,0.111735667,0.101995,0.115754317,0.137998974,0.07840641,0.067746923,0.006527467,0.014904567,0.016049667,0.009255487,0.012188513,0.012637718
1987,7.510679245,133.066,0.352142264,2.306510566,8.173090909,69.808,46.58636364,0.003214073,-0.000842509,-3.11E-05,0.001296555,-0.001920182,0.0050744,0.037605,195.26,136.28,44.08966667,0.00555482,9.43E-05,-0.003726667,0.032476667,223.15,0.000472977,38.65566667,0.000472977,0.006422183,0.003675993,0.0320173,0.264296367,0.530884667,0.792218667,4.871333333,170.04,0.013280774,32.71935484,0.013280774,0.004490403,0.010033584,0.061918387,0.247086903,0.427969032,0.693755806,4.261406452,143.645,0.022630184,-0.003940655,0.000840195,0.226581211,0.394666842,0.305788313,2.662384474,351.34,0.137982333,0.099088667,0.118159033,0.144874737,0.077770711,0.056770974,0.0072342,0.013824967,0.017627767,0.008879342,0.0147635,0.019666395
1988,7.809148148,151.694,0.385107037,2.082416667,7.931565217,67.426,41.55173913,0.007702087,0.001878317,-0.001444148,0.0013738,-0.005429696,0.003243804,0.01469087,185.7,133.43,38.11833333,0.00566154,0.00195,-0.002445497,0.022660333,207.23,0.002378117,32.148,0.002378117,0.00382242,0.002837603,0.028883367,0.377834667,0.759402333,1.278936667,8.2847567,157.533,0.01108794,28.30366667,0.01108794,0.001758267,0.008594547,0.039454667,0.433999667,0.825106333,1.408376667,9.811856667,129.274,0.017287929,2.99E-05,0.001050834,0.353667816,0.653692895,0.844626842,6.816286316,312.7,0.106269667,0.06195715,0.073124667,0.076362368,0.014230158,0.016878829,0.006552433,0.0123928,0.008560867,0.008280263,0.015971789,0.014940553
1989,7.398716981,127.132,0.383352264,2.696461132,7.657347826,61.119,40.02086957,0.008030261,0.002122904,0.006990391,0.008189957,0.01611613,0.024356913,0.039981435,158.19,113.147,35.97033333,0.00466499,0.006116853,0.019341747,0.042422767,173.41,0.021202433,30.721,0.021202433,-0.000673957,0.005004413,0.045839767,0.4074883,0.648218667,2.031149333,8.460213333,141.071,0.032041903,26.28354839,0.032041903,-0.004714058,0.007210123,0.056809742,0.453982548,0.65329,1.856922581,8.087251613,125.773,0.032831205,-0.000406523,0.000425977,0.403761282,0.732936154,0.823141282,7.479338718,334.48,0.069595333,0.0323369,0.05051709,0.122716923,0.041573385,0.033401513,0.005419733,0.009898533,0.007650267,0.009500308,0.013886923,0.01097759
