year,UWpre.a,LSTyolk,LSTlarv,CSTlarv.s,CSTlarv.n,PUlarv,CSTlatelarv.s,EKE.ja.s,EKE.ja.c,EKE.ms.s,EKE.ms.c,EKEpre.ms.c
1980,NA,0.009004786,0.009178987,-0.00056891,0.00527688,0.016142617,-0.003011206,0.007221071,0.016159536,0.007445763,0.017057711,NA
1981,0.340122037,0.00476151,0.01963418,0.00019897,0.005041963,0.035447123,-0.00327756,0.009982933,0.015262933,0.011217421,0.025206579,0.017057711
1982,0.348958167,-0.005970387,0.00360558,0.00074446,0.0082298,0.00217177,-0.001704163,0.0073513,0.0135856,0.010624842,0.018555684,0.025206579
1983,0.36008,-0.0119943,-0.000231517,0.00037989,-0.00078855,0.035068067,-0.005264548,0.0115438,0.021647267,0.011862308,0.014661615,0.018555684
1984,0.294613774,-0.00315884,0.009780548,-0.006146945,0.002813126,0.028351897,-0.009145167,0.0066316,0.019127267,0.009231974,0.027363947,0.014661615
1985,0.308153889,-0.00298493,-0.00162183,0.003421503,0.00315488,-0.007894163,-0.000611357,0.006751067,0.013809467,0.008958921,0.013086711,0.027363947
1986,0.371947404,-0.00229021,0.010024677,-0.001899513,0.0045663,0.016121533,-0.002497352,0.006527467,0.014904567,0.009255487,0.012188513,0.013086711
1987,0.352142264,-0.003726667,0.000472977,0.006422183,0.003675993,0.0320173,0.004490403,0.0072342,0.013824967,0.008879342,0.0147635,0.012188513
1988,0.385107037,-0.002445497,0.002378117,0.00382242,0.002837603,0.028883367,0.001758267,0.006552433,0.0123928,0.008280263,0.015971789,0.0147635
1989,0.383352264,0.019341747,0.021202433,-0.000673957,0.005004413,0.045839767,-0.004714058,0.005419733,0.009898533,0.009500308,0.013886923,0.015971789
1990,0.355726792,0.0167072,0.022844733,-0.00221552,0.011305567,0.0274593,-0.002522248,0.0048663,0.0090562,0.010324316,0.010666158,0.013886923
1991,0.358349074,0.011515547,0.013402167,-0.00412613,0.008926603,0.007955267,-0.003962647,0.005700367,0.010647,0.006431526,0.012436579,0.010666158
1992,0.457303519,0.023315367,0.010149917,0.001121923,-0.001634893,0.019236537,0.001200848,0.006920367,0.014005933,0.010583821,0.008428487,0.012436579
1993,0.369244151,0.007512833,0.014179917,0.003668363,0.008742303,0.045702067,0.000998268,0.006315933,0.012842667,0.008608395,0.011061868,0.008428487
1994,0.257245963,0.0161592,0.0311004,-0.004341713,0.014636693,0.0351888,-0.007462257,0.006257667,0.0093497,0.010017895,0.012720684,0.011061868
1995,0.389507815,0.02076281,0.015903533,-0.00260054,0.002095233,0.011512953,-0.003346437,0.009074033,0.021927533,0.008799789,0.011163947,0.012720684
1996,0.351960085,-0.001346097,0.01047899,-0.005102,0.0021139,0.025447767,-0.006823774,0.007580387,0.012425419,0.009087211,0.010188132,0.011163947
1997,0.35486587,0.023213433,0.042892833,-0.0059418,0.012867603,0.051418333,-0.008999367,0.005267567,0.0138292,0.008340342,0.009658658,0.010188132
1998,0.219967593,-0.018423633,-0.00233612,0.00338662,0.0050668,0.041581,0.002430073,0.008979933,0.0171176,0.010949342,0.010516684,0.009658658
1999,0.399707358,0.002909477,0.01741847,-0.009985067,0.010967317,0.0433459,-0.011787516,0.007671267,0.013728867,0.006664128,0.013674359,0.010516684
2000,0.489571887,0.01503756,0.018828752,-0.008562516,0.002232087,0.010078206,-0.0087635,0.007281,0.015603433,0.008132684,0.013807553,0.013674359
2001,0.392683611,0.01898016,0.026420667,-0.003930393,0.006369517,0.027418267,-0.006181,0.004239933,0.012995333,0.007761053,0.011491421,0.013807553
2002,0.484528679,0.023769367,0.0315003,-0.002746307,0.008493393,0.0318709,-0.004265294,0.004484167,0.0106473,0.007476077,0.013039821,0.011491421
2003,0.604482642,-0.00916954,0.0028659,0.00079881,0.001428807,0.005159777,-0.0015191,0.006755967,0.0143577,0.009072105,0.016961868,0.013039821
2004,0.463452778,0.012366993,0.024143367,-0.003381013,0.004703487,0.020840837,-0.004689173,0.0060043,0.014324067,0.007475632,0.014556658,0.016961868
2005,0.466954302,0.001162963,0.008919333,0.003828813,0.000418833,0.0275543,0.00185151,0.006078433,0.012870267,0.012665051,0.009327821,0.014556658
2006,0.442003774,0.002922733,0.018403067,-0.0031535,0.011133533,0.0221262,-0.005801355,0.006515167,0.0148016,0.008078421,0.013416105,0.009327821
2007,0.683665741,0.00918214,0.019555933,-0.000339863,0.009541657,0.018352333,-0.002835187,0.004616633,0.014116833,0.008869737,0.01164,0.013416105
2008,0.439186481,0.00882462,0.0212162,-0.001175643,0.007658857,0.015451833,-0.001230577,0.006346233,0.01475,0.009638744,0.016281333,0.01164
2009,0.510777925,0.0207874,0.027545167,-0.001598093,0.008153847,0.0284616,-0.001972097,0.005294367,0.0172233,0.007527263,0.011347553,0.016281333
2010,0.403893863,-0.00852405,0.006735933,0.004241619,0.008039,0.027935067,0.001325993,0.008561767,0.0166828,0.008981132,0.016507263,0.011347553
