year,MLDyolk,CSTyolk.s,CSTyolk.n,ASTyolk,PUyolk,DDyolk,SSH.ja.s,SSH.ja.c,EKE.ja.s,EKE.ja.c
1980,34.43964286,0.002540754,0.003942914,0.009004786,0.015300661,194.89,0.143940357,0.113201071,0.007221071,0.016159536
1981,38.12966667,0.003594387,-0.002183137,0.00476151,0.02010208,210.73,0.113103333,0.089839247,0.009982933,0.015262933
1982,38.93333333,0.002176407,0.006357053,-0.005970387,0.002516237,202.59,0.106577333,0.096736333,0.0073513,0.0135856
1983,51.46966667,0.0053168,-0.001561063,-0.0119943,0.0058572,265.06,0.171638,0.162089333,0.0115438,0.021647267
1984,40.18166667,-0.000716633,0.000877807,-0.00315884,0.02992946,212.97,0.133645333,0.091695667,0.0066316,0.019127267
1985,44.96033333,0.007862567,0.00599576,-0.00298493,-0.000270297,202.87,0.091329333,0.050386967,0.006751067,0.013809467
1986,33.867,-0.001612407,-5.26E-05,-0.00229021,-0.009415867,202.5,0.111735667,0.101995,0.006527467,0.014904567
1987,44.08966667,0.00555482,9.43E-05,-0.003726667,0.032476667,223.15,0.137982333,0.099088667,0.0072342,0.013824967
1988,38.11833333,0.00566154,0.00195,-0.002445497,0.022660333,207.23,0.106269667,0.06195715,0.006552433,0.0123928
1989,35.97033333,0.00466499,0.006116853,0.019341747,0.042422767,173.41,0.069595333,0.0323369,0.005419733,0.009898533
1990,36.712,-0.001794303,0.0089684,0.0167072,0.012975233,191.58,0.106192333,0.054552333,0.0048663,0.0090562
1991,39.645,-0.00284663,0.003178053,0.011515547,-0.003466667,196.41,0.116491333,0.065096267,0.005700367,0.010647
1992,37.796,0.001042623,0.000425063,0.023315367,0.011592703,228.18,0.202173333,0.167470667,0.006920367,0.014005933
1993,36.894,0.00547235,0.00079641,0.007512833,0.028271667,214.49,0.141527667,0.118403733,0.006315933,0.012842667
1994,39.738,-0.000133563,0.008734483,0.0161592,0.031352273,219.42,0.125317667,0.082683133,0.006257667,0.0093497
1995,38.01866667,-0.00363609,0.006647667,0.02076281,0.024275987,225,0.142930333,0.1319111,0.009074033,0.021927533
1996,32.59032258,-0.00626559,-0.000153161,-0.001346097,0.01264271,207.05,0.08836,0.076775484,0.007580387,0.012425419
1997,33.59,-0.002472093,0.00528341,0.023213433,0.033676433,193.74,0.094811,0.0545682,0.005267567,0.0138292
1998,54.267,0.004599487,-0.000825557,-0.018423633,0.017472167,273.7,0.150938333,0.1358397,0.008979933,0.0171176
1999,45.79833333,-0.001650423,0.007730137,0.002909477,0.034283233,198.44,0.052653,0.01822095,0.007671267,0.013728867
2000,33.98533333,-0.007212367,-0.00050658,0.01503756,0.00620748,185.68,0.074360667,0.0555741,0.007281,0.015603433
2001,40.86,-0.000505998,0.004268673,0.01898016,0.020832267,190.31,0.083554667,0.045096633,0.004239933,0.012995333
2002,42.82833333,-0.000779513,0.004502823,0.023769367,0.028683343,191.51,0.090584,0.053312263,0.004484167,0.0106473
2003,42.28733333,-6.96E-05,-0.003186613,-0.00916954,-0.009703857,215.94,0.082432667,0.065578667,0.006755967,0.0143577
2004,40.854,-0.001282637,0.001370753,0.012366993,0.003855837,204.52,0.107558667,0.086185,0.0060043,0.014324067
2005,41.03133333,0.00696453,-0.00308581,0.001162963,0.0058743,225.07,0.125873667,0.1033706,0.006078433,0.012870267
2006,37.48366667,-0.00104453,0.00287217,0.002922733,0.016672033,186.91,0.063861333,0.070995,0.006515167,0.0148016
2007,48.42233333,0.002390387,0.006735563,0.00918214,-0.0007648,207.05,0.079137667,0.034452293,0.004616633,0.014116833
2008,45.82966667,0.00127215,-0.001196933,0.00882462,-0.003184053,190.24,0.05445665,0.017932067,0.006346233,0.01475
2009,43.67066667,-0.00146537,0.00469153,0.0207874,0.0143077,197.36,0.095698,0.048882367,0.005294367,0.0172233
2010,49.497,0.004295223,0.00153189,-0.00852405,0.000490233,230.63,0.118942667,0.112594107,0.008561767,0.0166828
