"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
1980,NA,NA,NA,NA,8.09,3.09,44.91,0.0113,0.005542,0.01602,0.01466,0.04783,0.04809,0.08437,9.44,6.3,44.91,0.007905,0.0157,0.0505,0.08437,7.74,0.0482,44.91,0.0482,0.005018,0.01448,0.08437,1.046,1.731,4.3,27,6.03,0.05508,44.29,0.05508,0.003828,0.01694,0.06201,1.046,1.648,4.3,22.25,5.14,0.03416,0.004008,0.008624,1.046,1.371,4.3,20.95,9.41,0.2004,0.1881,0.2673,0.158,0.08601,0.09746,0.01574,0.0515,0.06224,0.01096,0.03287,0.04081
1981,8.052,3.052,1.124,8.136,8.21,3.21,43.37,0.009082,0.001738,0.008882,0.01024,0.05956,0.05945,0.09586,9.13,6.14,45.17,0.01539,0.01102,0.06192,0.09586,7.6,0.05974,45.17,0.05974,0.006206,0.0227,0.0999,0.8316,1.744,3.459,21.4,5.9,0.05547,43.81,0.05547,0.002182,0.02092,0.1173,0.9774,1.734,3.459,20.63,5.11,0.04785,0.002983,0.01561,0.9774,1.508,2.191,17.63,10.35,0.1696,0.1971,0.3081,0.1588,0.09019,0.1201,0.01377,0.03816,0.09667,0.01705,0.04689,0.07835
1982,8.329,3.329,0.9504,9.587,7.871,2.871,53.95,0.009517,0.005379,0.02809,0.02047,0.02559,0.03286,0.1024,8.55,5.72,53.95,0.008939,0.02537,0.03037,0.1024,7.15,0.03352,53.95,0.03352,0.005114,0.02188,0.1024,0.747,1.875,4.658,18.1,5.46,0.03719,40.29,0.03719,0.004176,0.02293,0.0818,0.747,1.612,4.658,21.49,4.639,0.05585,0.00912,0.009065,0.6842,1.445,2.709,23.14,10.96,0.1631,0.1538,0.2005,0.1982,0.1109,0.1003,0.01181,0.02397,0.03239,0.01448,0.04052,0.077
1983,8.552,3.552,1.334,19.86,8.898,3.898,65.48,0.01948,0.01212,0.01398,0.008777,0.01998,0.02012,0.09073,10.68,7.84,65.48,0.0166,0.01701,0.02096,0.09073,9.65,0.03401,65.26,0.03401,0.01169,0.01663,0.1166,1.19,3.073,3.422,20.82,7.65,0.06033,50.51,0.06033,0.01042,0.01559,0.08801,1.19,2.779,3.422,18.96,6.11,0.041,0.006524,0.0124,0.9142,2.486,2.861,17.72,13.08,0.2588,0.2577,0.3349,0.2596,0.1968,0.1934,0.02051,0.05934,0.1042,0.02325,0.02834,0.03622
1984,8.556,3.556,1.072,5.348,7.779,2.779,48.03,0.01158,0.002669,0.01485,0.01318,0.01363,0.02646,0.07097,9.21,6.26,48.03,0.00749,0.01211,0.02097,0.09601,7.73,0.05316,46.54,0.05316,0.0003183,0.01533,0.09601,1.14,2.189,5.679,44.5,5.77,0.05583,39.42,0.05583,-0.002276,0.01568,0.109,1.14,2.363,5.679,49.69,4.828,0.0679,0.00996,0.01638,0.7971,1.321,3.11,20.23,13.74,0.1771,0.1573,0.1892,0.2346,0.1748,0.1581,0.0114,0.05856,0.04034,0.01433,0.04114,0.03578
1985,8.164,3.164,0.9535,11.85,7.922,2.922,53.89,0.01841,0.009075,0.03409,0.02483,0.04749,0.04292,0.06696,8.8,5.99,53.89,0.01404,0.03026,0.04659,0.06696,7.4,0.02464,53.89,0.02464,0.007299,0.02409,0.06696,0.7996,2.477,5.43,38.18,5.65,0.03719,48.03,0.03719,0.005564,0.01049,0.04517,0.7996,2.258,5.43,36.65,4.513,0.0412,0.01035,0.01191,0.5672,1.391,2.083,14.16,10.92,0.1569,0.1386,0.1418,0.1652,0.098,0.114,0.01146,0.03371,0.05029,0.01325,0.02531,0.05818
1986,7.993,2.993,1.233,12.25,8.021,3.021,47.41,0.004441,0.000799,0.009887,0.007097,0.01887,0.02631,0.09122,8.46,5.82,47.41,0.006985,0.02488,0.02629,0.09122,7.04,0.03492,40.52,0.03492,0.002807,0.01913,0.09154,1.025,1.526,2.488,16.97,5.6,0.03622,36.08,0.03622,0.0008299,0.01854,0.1123,0.8551,1.483,2.258,16.63,4.762,0.02411,0.004713,0.01234,0.8551,1.327,2.258,19.5,10.07,0.1518,0.1563,0.2209,0.1822,0.1262,0.1172,0.01398,0.03849,0.04926,0.01291,0.02013,0.03597
1987,7.957,2.957,1.385,13.05,8.304,3.304,57.64,0.01067,0.00467,0.01448,0.009739,0.02321,0.02776,0.08936,9.67,6.45,57.64,0.02274,0.01111,0.02772,0.08936,7.95,0.02827,57.64,0.02827,0.01559,0.02451,0.08936,0.9771,1.889,2.919,17.35,6.22,0.05295,56.63,0.05295,0.01276,0.03514,0.109,0.8304,1.357,2.513,16.29,5.29,0.07562,0.002798,0.01262,0.8304,1.095,1.659,8.909,11.12,0.1849,0.1758,0.2566,0.2032,0.126,0.1011,0.0107,0.04071,0.07735,0.01295,0.02977,0.05024
1988,8.367,3.367,1.547,10.71,8.123,3.123,61.89,0.01628,0.006664,0.01134,0.01271,0.02251,0.02696,0.1139,8.94,6.3,61.89,0.01215,0.01291,0.02565,0.1139,7.8,0.02734,52.72,0.02734,0.009162,0.01322,0.0727,1.097,2.885,3.744,36.7,5.7,0.04411,35.68,0.04411,0.006872,0.02365,0.09368,1.097,2.772,3.744,38.22,4.749,0.08191,0.007196,0.01943,1.097,2.599,3.744,38.41,9.35,0.1526,0.1369,0.2021,0.1126,0.05194,0.05912,0.01151,0.03214,0.03463,0.01349,0.03748,0.04012
1989,7.717,2.717,1.213,9.6,7.742,2.742,47.7,0.01367,0.004821,0.02038,0.01721,0.0486,0.05146,0.09304,7.51,5.08,47.7,0.009175,0.01984,0.05265,0.09304,6.11,0.05628,46.98,0.05628,0.00424,0.01724,0.1225,1.094,2.13,5.38,27.38,4.903,0.06994,46.69,0.06994,0.002102,0.02126,0.109,1.094,2.109,5.38,27.12,4.259,0.07679,0.01178,0.02014,1.094,1.939,4.109,26.34,10.2,0.09676,0.05565,0.1185,0.17,0.09491,0.07394,0.008949,0.02805,0.02265,0.01316,0.02919,0.02656
1990,7.784,2.784,1.13,9.102,8.04,3.04,49.54,0.005957,0.001518,0.02488,0.02135,0.0338,0.03971,0.06653,8.59,5.73,49.54,0.01076,0.02217,0.03869,0.06756,6.83,0.04656,49.54,0.04656,0.00715,0.02389,0.1059,1.193,1.773,6.652,24.9,5.34,0.05745,50.24,0.05745,0.005715,0.03128,0.1072,0.7629,1.706,3.832,23.78,4.58,0.0713,0.006553,0.01508,0.7551,1.513,1.803,23.06,10.21,0.136,0.1043,0.1605,0.1661,0.1157,0.1091,0.007335,0.02575,0.05989,0.01608,0.01831,0.035
1991,7.835,2.835,1.416,15.6,7.791,2.791,49.32,0.004416,-0.0003468,0.01785,0.01394,0.02622,0.03585,0.05627,8.65,5.76,49.32,0.005124,0.01618,0.02998,0.05627,7.06,0.03687,47.56,0.03687,0.003215,0.0372,0.05627,1.133,2.938,7.849,50.72,5.48,0.05801,43.14,0.05801,0.002615,0.03307,0.07851,1.133,2.959,7.849,51.66,4.626,0.05013,0.007407,0.01373,1.026,1.894,7.849,38.86,9.54,0.1823,0.1424,0.2017,0.1581,0.1101,0.1095,0.01143,0.02929,0.06142,0.009819,0.02647,0.04923
1992,7.962,2.962,1.752,29.59,8.351,3.351,52.73,0.005654,0.0008812,0.02085,0.01441,0.06535,0.06028,0.05283,9.49,6.47,52.73,0.01147,0.01749,0.06496,0.07877,8.01,0.03101,46.08,0.03101,0.008857,0.01617,0.08365,0.7873,1.771,0.9532,8.692,6.25,0.04663,38.71,0.04663,0.006735,0.01938,0.09248,1.136,1.689,1.351,8.27,5.33,0.08297,0.006265,0.01227,1.136,1.341,1.351,8.564,11.53,0.2475,0.2193,0.2694,0.2011,0.1332,0.1224,0.01488,0.04352,0.07856,0.01791,0.01378,0.03715
1993,8.849,3.849,1.412,6.002,8.084,3.084,52.91,0.01225,0.007637,0.02009,0.01375,0.04745,0.04102,0.04375,9.13,6.28,52.91,0.01454,0.01621,0.04694,0.09498,7.77,0.04796,44.43,0.04796,0.009261,0.03003,0.1011,1.033,2.057,2.906,25.88,5.91,0.06799,43.54,0.06799,0.006641,0.02768,0.09701,1.033,1.987,2.906,24.36,5.01,0.1043,0.007851,0.02141,0.7033,1.586,2.125,13.44,11.23,0.1826,0.1817,0.2104,0.214,0.134,0.1464,0.01196,0.03402,0.04678,0.01193,0.02264,0.01799
1994,7.928,2.928,1.148,4.472,7.928,2.928,52.9,0.009041,0.0004151,0.01828,0.01594,0.03663,0.04116,0.06463,9.65,6.36,52.9,0.00462,0.02219,0.04085,0.07998,8.03,0.06386,52.9,0.06386,0.000981,0.02874,0.07998,0.7081,1.432,3.612,14.85,6.09,0.07546,45.64,0.07546,-0.0003542,0.02729,0.09028,0.7081,2.285,3.612,25.98,5.01,0.07595,0.008548,0.02647,0.7081,2.123,2.433,26.5,10.93,0.1709,0.149,0.1716,0.1961,0.1142,0.08655,0.01199,0.03055,0.0333,0.01352,0.02057,0.0246
1995,7.784,2.784,1.24,10.2,8.269,3.269,57.02,0.005224,0.001813,0.03506,0.02297,0.06554,0.07007,0.1121,9.3,6.69,57.02,0.008184,0.02776,0.07058,0.1121,8.15,0.02892,42.23,0.02892,0.005229,0.01615,0.09466,1.035,2.234,4.751,28.66,6.49,0.04372,42.79,0.04372,0.004299,0.01444,0.1215,1.035,2.209,4.751,30.08,5.52,0.06962,0.004792,0.01489,0.7011,1.432,2.729,19.44,10.96,0.2001,0.2299,0.3398,0.1776,0.0901,0.07782,0.017,0.1083,0.1089,0.01674,0.02365,0.01987
1996,7.94,2.94,1.372,8.887,7.797,2.797,42.39,-0.003245,-0.003088,0.009113,0.009597,0.006172,0.01737,0.04898,8.9,5.74,42.39,0.0002957,0.01029,0.0156,0.0808,7.14,0.0323,38.55,0.0323,-0.001183,0.01003,0.0808,0.9696,1.712,3.108,20.19,5.5,0.0389,37.7,0.0389,-0.001911,0.01121,0.07508,0.9696,1.785,3.108,24.86,4.696,0.06763,0.008267,0.01283,0.902,1.885,1.325,27.18,11.26,0.1244,0.1345,0.215,0.1839,0.09441,0.09841,0.01312,0.02978,0.05646,0.01466,0.02692,0.03178
1997,7.865,2.865,1.296,6.858,7.855,2.855,42.05,0.002975,-0.00138,0.02244,0.02208,0.03959,0.04494,0.1197,8.47,5.69,42.05,0.00153,0.02267,0.05035,0.1197,7.01,0.07377,38.59,0.07377,-0.001466,0.02549,0.1197,0.9654,2.252,3.932,31.4,5.49,0.07274,38.25,0.07274,-0.003499,0.02297,0.1047,0.9654,2.18,3.268,32.09,4.965,0.1198,0.01004,0.01626,0.9379,1.452,0.857,12.29,12.35,0.1174,0.14,0.2411,0.2571,0.1758,0.1996,0.00836,0.03636,0.05541,0.01289,0.02085,0.03659
1998,8.536,3.536,1.137,13.51,8.867,3.867,68.93,0.01003,0.004786,0.01077,0.006212,0.003591,0.009845,0.06946,12.14,8.68,68.93,0.01004,0.01907,0.008326,0.1022,11.08,0.03534,65.72,0.03534,0.0075,0.02268,0.1264,1.355,2.334,2.648,18.42,7.66,0.04356,64.48,0.04356,0.004399,0.02306,0.07169,1.355,2.25,2.648,18.66,6.15,0.07055,0.007008,0.02843,0.8273,1.62,1.281,13.3,11.75,0.2685,0.2597,0.3541,0.1944,0.1059,0.06481,0.01713,0.06197,0.06776,0.01686,0.02032,0.0217
1999,8.292,3.292,1.057,5.466,7.824,2.824,58.96,0.01249,0.0002305,0.02576,0.01757,0.01892,0.02793,0.0775,8.53,5.96,58.96,0.006683,0.0224,0.0239,0.08709,7.48,0.04146,58.96,0.04146,-0.002472,0.02832,0.08709,1.351,3.276,11.71,62.88,5.78,0.05311,51.16,0.05311,-0.007341,0.0246,0.07624,1.351,3.127,11.71,63.77,4.612,0.05566,0.007466,0.01479,0.9673,2.104,3.121,49.17,9.78,0.07688,0.07006,0.1623,0.1359,0.06633,0.03531,0.01193,0.03998,0.06785,0.01045,0.03542,0.02878
2000,7.588,2.588,1.325,25.07,7.811,2.811,48.63,0.001101,-0.002899,0.01548,0.01263,0.02408,0.03249,0.08491,8.24,5.63,48.63,-0.001968,0.01235,0.03509,0.08491,6.89,0.04303,41.63,0.04303,-0.002435,0.01613,0.07812,1.074,1.975,4.077,31.49,5.43,0.0462,37.45,0.0462,-0.002399,0.01502,0.08725,1.074,2.064,3.906,27.05,4.373,0.06807,0.009596,0.01676,1.074,1.963,3.627,21.66,11.07,0.09868,0.1245,0.1777,0.1551,0.08412,0.06449,0.01106,0.03092,0.03681,0.01315,0.027,0.01992
2001,7.761,2.761,1.555,12.72,7.75,2.75,49.11,0.008655,0.004216,0.02044,0.01641,0.03494,0.04132,0.05864,8.22,5.48,49.11,0.006267,0.01824,0.04026,0.069,6.67,0.04192,49.11,0.04192,0.004039,0.01616,0.069,1.15,2.707,9.854,45.88,5.27,0.0397,43.91,0.0397,-0.001098,0.01215,0.05352,1.15,2.355,9.854,41.61,4.489,0.06473,0.009354,0.01248,0.8548,2.095,2.259,34.46,9.68,0.1228,0.1191,0.1544,0.139,0.06063,0.04497,0.007914,0.04312,0.02201,0.01449,0.0316,0.02908
