"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
1980,NA,NA,NA,NA,7.9535,2.9535,35.04,0.0043205,0.0006808,0.0035325,0.0040325,0.01073,0.01573,0.023825,8.825,5.83,34.55,0.0022525,0.0043235,0.01292,0.01665,6.98,0.009697,32.93,0.009697,0.0003455,0.005552,0.01688,0.30085,0.6255,1.0945,4.952,5.38,0.008829,27.61,0.008829,-0.002333,0.005864,0.03069,0.42,0.6323,1.386,5.509,4.198,0.0033035,-0.003596,-0.00084455,0.3741,0.5356,0.4384,2.431,7.85,0.1442,0.12525,0.1424,0.1178,0.063395,0.02897,0.006619,0.01363,0.008324,0.007195,0.01859,0.01447
1981,7.5715,2.5715,0.33675,1.5465,7.9645,2.9645,39.5,0.0036935,-0.001141,-0.0040795,-0.002859,0.0013592,0.00665,-0.0004098,8.82,5.915,39.005,0.00307,-0.0005547,0.0004301,0.021235,7.11,0.018595,38.76,0.018595,0.000422,0.003898,0.03326,0.20615,0.64845,0.5002,4.879,5.36,0.02891,28.205,0.02891,-0.00113655,0.0081585,0.053315,0.2247,0.6794,0.73975,8.0515,4.369,0.0047755,-0.0039165,-0.0033015,0.2313,0.5069,0.2549,5.287,8.6,0.12465,0.097705,0.12535,0.10795,0.0096735,0.01145,0.009809,0.011,0.0084265,0.01097,0.024825,0.022135
1982,7.592,2.592,0.3399,1.0775,7.76,2.76,38.55,0.001219,0.0001467,0.0003177,0.005673,-0.01469,-0.0008866,-0.01478,7.94,5.56,38.45,0.002624,0.008562,-0.0064305,-0.00390545,6.77,0.0011817,35.72,0.0011817,0.00055675,0.0080145,-0.008841,0.2776,0.51815,0.98425,4.435,5.335,0.015885,30.16,0.015885,-8.14e-05,0.01273,0.017165,0.30795,0.47285,0.98425,3.789,4.51,-0.007172,-0.006453,-0.0037425,0.29805,0.47195,0.33135,4.065,8.65,0.1033,0.10505,0.12105,0.15535,0.085855,0.06601,0.007119,0.012665,0.005711,0.01047,0.016615,0.01707
1983,7.565,2.565,0.3433,1.53,8.767,3.767,57.46,0.009447,0.005701,-0.00417,-0.002214,0.00173,6.77e-05,0.002099,10.16,7.48,49.87,0.005252,0.00071755,-0.0018705,0.012475,9.02,0.004892,45.005,0.004892,0.003033,0.00045085,0.05297,0.3257,0.4978,0.56265,1.261,6.485,0.02443,31.64,0.02443,-0.009533,0.005115,0.04469,0.3433,0.4844,0.5421,2.471,5.14,-0.01327,-0.003005,-0.00488,0.2518,0.4098,0.2148,1.394,10.48,0.17165,0.1778,0.2055,0.2372,0.1626,0.1396,0.0098635,0.01687,0.017395,0.0104,0.01364,0.008376
1984,8.089,3.089,0.209,0.3841,7.6255,2.6255,40.75,0.00024605,-0.004595,0.0041305,0.004297,-0.004568,0.006609,0.03475,8.825,5.88,39.26,-0.001578,0.002581,-0.0020195,0.033555,7.21,0.006553,37.36,0.006553,-0.006533,0.004667,0.03042,0.2719,0.6069,0.7701,7.57,5.4,0.0189,34.555,0.0189,-0.0090035,0.006832,0.038095,0.32295,0.53315,0.71385,7.407,4.3095,-0.017145,0.001572,-0.0031635,0.23495,0.38295,0.16855,2.616,9.53,0.1372,0.10565,0.11965,0.1635,0.097525,0.088245,0.0062005,0.01387,0.0084175,0.0088255,0.028805,0.01047
1985,7.653,2.653,0.3228,0.5404,7.797,2.797,47.22,0.01001,0.004088,0.01167,0.00706,-0.002471,0.01,0.01145,8.08,5.72,45.915,0.0070635,0.0079475,-0.005748,0.00345605,6.685,-0.004031,41.71,-0.004031,0.0035425,0.0038465,-0.016225,0.2658,0.3758,1.1675,4.471,5.175,0.0036785,34.135,0.0036785,0.00095835,-0.0003893,0.013085,0.2457,0.4598,1.1675,5.0435,4.301,-0.020385,-0.001758,-0.00094375,0.1904,0.3608,0.2316,1.973,9.615,0.078785,0.03956,0.03883,0.1371,0.066665,0.049405,0.006723,0.012905,0.0073225,0.0091465,0.012235,0.011795
1986,7.519,2.519,0.3015,1.375,7.961,2.961,35.75,-0.001483,-0.00324,-0.004816,-0.005312,-0.01157,-0.002868,-0.02126,8.17,5.71,34.785,-0.001419,-0.003727,-0.0038715,-0.015905,6.79,0.011845,30.435,0.011845,-0.0016205,0.006034,0.0111325,0.22945,0.60065,0.543,4.3585,5.305,0.01506,27.98,0.01506,-0.001772,0.01018,0.03215,0.2401,0.485,0.5231,3.289,4.482,-0.01255,-0.004212,-0.004714,0.2286,0.4192,0.2028,2.659,9.12,0.11135,0.1086,0.13085,0.1478,0.07143,0.06851,0.0062305,0.01274,0.0107,0.009502,0.0116,0.01003
1987,7.465,2.465,0.3253,1.717,8.158,3.158,46.025,0.003887,-0.0015285,-0.001992,0.00116645,0.0001635,0.004733,0.0389,8.86,6.175,44.555,0.003695,-7.8e-06,-0.001782,0.034675,7.46,0.0026735,40.58,0.0026735,0.005442,0.0044065,0.034675,0.2373,0.4206,0.54475,3.774,5.715,0.01069,30.55,0.01069,0.003476,0.005816,0.06482,0.2324,0.3709,0.5457,4.135,4.617,0.02504,-0.0040505,0.0021375,0.22345,0.3431,0.1537,1.779,9.22,0.1432,0.099195,0.094545,0.1458,0.080045,0.054325,0.007247,0.012445,0.010634,0.008839,0.013915,0.01705
1988,7.7465,2.7465,0.3501,1.671,7.896,2.896,41.05,0.007108,0.002307,-0.003416,0.0004462,-0.008636,-0.001358,0.009256,8,5.74,34.52,0.006029,0.002525,-0.0052715,0.0198,6.885,-0.000959,29.8,-0.000959,0.0035885,0.0016435,0.041165,0.3423,0.70195,1.2065,6.607,5.25,0.006572,28.175,0.006572,0.00212,0.007556,0.043025,0.38705,0.76355,1.297,7.71,4.287,0.014685,0.00045045,0.0012503,0.32635,0.5601,0.34305,4.661,8.39,0.10995,0.064295,0.063515,0.082365,0.01624,0.01585,0.0062725,0.0094625,0.0060045,0.007931,0.015625,0.014115
1989,7.395,2.395,0.3579,2.29,7.645,2.645,40.05,0.00792,0.001999,0.008445,0.01046,0.02714,0.03346,0.04545,6.88,4.907,38.205,0.0046495,0.0078335,0.018055,0.04681,5.74,0.020375,30.25,0.020375,-0.0001244,0.004466,0.056075,0.41025,0.54265,1.9965,7.3245,4.729,0.02396,23.45,0.02396,-0.002725,0.004672,0.05299,0.4686,0.628,1.477,8.153,4.05,0.03602,0.0001011,0.0008244,0.3712,0.7378,0.3738,7.65,8.54,0.07032,0.033005,0.044085,0.1339,0.0455,0.04094,0.005364,0.008814,0.0048215,0.009741,0.01336,0.008072
