"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
1980,NA,NA,NA,NA,7.814,2.814,26.75,0.0007876,-0.003256,-0.004138,-0.001027,-0.009582,0.0006132,-0.02551,8.15,5.5,26.75,-0.002139,-0.004465,-0.02563,-0.03896,6.21,-0.01937,22.69,-0.01937,-0.008195,-0.001481,-0.03896,-0.9748,-1.051,-2.073,-5.697,4.592,-0.01929,17.61,-0.01929,-0.01086,-0.002425,-0.02897,0.00553,0.1636,-0.2973,0.4198,3.823,-0.06816,-0.01204,-0.01859,0.07512,0.01441,0.06468,0.07859,6.46,0.08839,0.03961,0.007199,0.0733,-0.008472,-0.01322,0.001632,0.00195,0.001743,0.005677,0.005744,0.005586
1981,7.285,2.285,-0.912,-2.52,7.888,2.888,34.51,-0.004204,-0.008485,-0.02188,-0.01413,-0.03433,-0.01273,-0.0686,8.45,5.69,26.58,-0.006616,-0.01744,-0.03454,-0.0686,6.23,-0.01864,22.01,-0.01864,-0.008888,-0.009383,-0.0686,-0.1471,-0.3651,-0.3932,-2.369,4.798,-0.01755,18.01,-0.01755,-0.01319,-0.005204,-0.05852,-0.1471,0.06103,-0.3932,0.2224,4.07,-0.05667,-0.01528,-0.02032,-2.57e-05,0.05216,-0.06185,0.4445,7.11,0.04005,-0.0008996,0.02032,0.0787,-0.02433,-0.05091,0.005762,0.004687,0.001516,0.007428,0.01062,0.009674
1982,7.296,2.296,-0.4193,-0.3726,7.637,2.637,30.61,-0.003714,-0.00251,-0.02666,-0.01326,-0.04505,-0.02633,-0.04455,7.2,5.32,24.16,-0.003557,-0.02082,-0.03602,-0.04455,6.38,-0.02499,18.7,-0.02499,-0.003172,-0.01219,-0.04361,-0.1411,-0.3953,-0.9565,-2.994,4.867,-0.02195,16.38,-0.02195,-0.01578,-0.004519,-0.02042,-0.07289,-0.4083,-0.4938,-3.332,4.171,-0.104,-0.01295,-0.02077,-0.09276,-0.3556,-0.06019,-2.018,6.82,0.05353,0.03226,0.02288,0.08508,0.007996,-0.04045,0.004809,0.008051,0.002166,0.007956,0.009626,0.006736
1983,7.151,2.151,-0.9813,-5.697,8.212,3.212,40.7,-0.002769,-0.004031,-0.02405,-0.01803,-0.07455,-0.04191,-0.1035,9.34,6.78,30.41,-0.009418,-0.02142,-0.05819,-0.1035,7.49,-0.03943,22.65,-0.03943,-0.01271,-0.0176,-0.1035,-0.3234,-0.6369,-1.148,-2.906,5.73,-0.03768,20.15,-0.03768,-0.01477,-0.01188,-0.06501,-0.3234,-0.4605,-1.148,-4.252,4.837,-0.1035,-0.01759,-0.03804,-0.136,-0.123,-0.1151,-0.2596,7.75,0.07915,0.02844,0.02024,0.108,0.07469,0.05619,0.006564,0.005858,0.003174,0.005167,0.008997,0.003344
1984,7.737,2.737,-0.5095,-1.663,7.481,2.481,36.22,-0.007761,-0.009878,-0.01757,-0.01059,-0.03711,-0.02129,-0.0354,8.4,5.57,32.27,-0.007956,-0.01414,-0.03513,-0.03595,5.83,-0.02472,21.18,-0.02472,-0.0104,-0.01138,-0.03595,-0.02303,-0.3479,-0.02753,-6.851,4.54,-0.02594,19.68,-0.02594,-0.01702,-0.009979,-0.03006,-0.02507,-0.3236,-0.1666,-4.726,3.856,-0.07426,-0.01699,-0.02052,-0.1469,-0.3694,-0.1666,-0.2537,6.89,0.06886,-0.0252,-0.03631,0.09946,0.02551,-3.82e-06,0.003124,0.003548,0.001899,0.005711,0.01272,0.003622
1985,7.167,2.167,-0.8426,-4.031,7.673,2.673,36.39,0.005344,0.0001093,-0.01495,-0.008478,-0.02913,-0.01103,-0.03714,7.28,5.34,29.96,0.003472,-0.01198,-0.04272,-0.06933,6.31,-0.02789,26.59,-0.02789,-0.002818,-0.009697,-0.06933,-0.01863,-0.2838,-0.3429,-3.673,4.905,-0.02071,15.39,-0.02071,-0.01113,-0.008533,-0.03814,0.008354,-0.2833,-0.3429,-4.029,4.168,-0.07596,-0.01097,-0.01347,-0.006294,-0.08562,-0.1278,-0.1449,7.12,0.05109,-0.02625,-0.07149,0.06003,-0.002944,-0.02076,0.004098,0.003612,0.002632,0.005196,0.005147,0.005215
1986,6.971,1.971,-0.3446,-1.64,7.864,2.864,26.46,-0.01009,-0.009479,-0.01642,-0.0136,-0.03187,-0.01734,-0.08612,7.86,5.43,26.34,-0.009948,-0.01655,-0.02323,-0.08612,6.32,-0.01493,23.47,-0.01493,-0.009492,-0.01327,-0.0583,-0.4964,-1.024,-1.932,-7.035,4.837,-0.01505,17.81,-0.01505,-0.006495,-0.01089,-0.03517,-0.1037,-0.1225,-0.2914,-1.572,4.194,-0.05594,-0.01252,-0.01894,-0.1037,-0.1521,-0.2914,-2.265,7.29,0.07423,0.03606,-0.007312,0.0675,0.0131,0.01635,0.004272,0.003828,0.002956,0.00423,0.005556,0.004343
1987,7.065,2.065,-0.6374,-4.944,8.048,3.048,34.73,-0.007792,-0.006083,-0.01239,-0.007576,-0.03026,-0.01664,-0.02027,8.12,5.92,30.87,-0.008206,-0.01491,-0.03616,-0.03819,6.94,-0.02378,20.5,-0.02378,-0.005101,-0.01152,-0.03819,-0.2618,-0.5954,-0.9729,-5.535,5.07,-0.02221,18.8,-0.02221,-0.00563,-0.00948,-0.0041,-0.2618,-0.6057,-0.9729,-5.094,4.128,-0.04233,-0.01302,-0.0146,-0.07815,-0.2004,-0.4485,-2.068,7.51,0.08556,0.02155,-0.02191,0.09408,-0.001223,-0.0037,0.004018,0.004787,0.001931,0.006357,0.004812,0.004227
1988,7.454,2.454,-0.1829,-1.525,7.788,2.788,26.83,-0.008309,-0.003477,-0.01383,-0.006015,-0.02669,-0.0147,-0.04308,7.39,5.43,22.85,-0.0005901,-0.01079,-0.02049,-0.04308,6.38,-0.01394,22.85,-0.01394,-0.001388,-0.005623,-0.03919,-0.1695,-0.2209,-0.655,-1.558,4.842,-0.01185,18.96,-0.01185,-0.00378,-0.002191,-0.0214,0.06379,-0.1741,0.1319,-2.574,3.983,-0.06621,-0.01283,-0.02801,-0.001973,-0.1012,-0.01869,-0.9797,6.88,0.05255,-0.01195,-0.04719,0.02416,-0.02805,-0.02228,0.004178,0.004354,0.001966,0.004121,0.004393,0.004036
1989,7.189,2.189,-0.4649,-2.931,7.594,2.594,31.52,0.002672,-0.0002409,-0.01361,-0.006798,-0.02592,-0.009414,-0.0239,6.29,4.695,19.58,0.0008777,-0.009954,-0.017,-0.0239,5.44,-0.008021,19.58,-0.008021,-0.01099,-0.006407,-0.0239,-0.2091,-0.5369,-3.291,-9.146,4.491,-0.005215,16.51,-0.005215,-0.01175,-0.004327,-0.004016,0.005129,-0.6534,-0.01885,-10.66,3.888,-0.02782,-0.01231,-0.01519,-0.03277,-0.1148,-0.05868,-0.7032,7,0.04461,-0.002953,0.0009577,0.05341,-0.04105,-0.03001,0.003394,0.005123,0.001393,0.006518,0.006807,0.002488
1990,7.098,2.098,-1.028,-3.836,7.801,2.801,33.76,-0.009699,-0.01107,-0.002839,0.0002531,-0.004919,0.002571,-0.05316,7.25,5.16,21.23,-0.0105,-0.001176,-0.001184,-0.05316,6.1,0.002883,21.23,0.002883,-0.01144,0.001984,-0.05316,-0.1614,-0.3692,-1.034,-6.135,4.907,0.002818,20.06,0.002818,-0.01352,0.002495,-0.03587,-0.1056,-0.1605,-0.8047,-1.884,4.245,-0.03291,-0.008488,-0.008994,-0.008847,-0.1358,-0.1682,-3.038,7.85,0.06799,0.008854,-0.02801,0.08414,-0.01814,-0.07989,0.00289,0.003905,0.003042,0.003842,0.006432,0.00241
