"year","H2a","H2b","H3a","H3b","H4","H5","H6","H7a","H7b","H7c","H7d","H8a","H8b","H9","H10a","H10b","H11","H12a","H12b","H13","H14","H15","H16","H17","H18","H19a","H19b","H20","H21a","H21b","H21c","H21d","H22","H24","H25","H26","H27a","H27b","H28","H29a","H29b","H29c","H29d","H30","H33","H34a","H34b","H35a","H35b","H35c","H35d","H36","H46a","H46b","H46c","H46d","H46e","H46f","H47a","H47b","H47c","H47d","H47e","H47f"
1980,NA,NA,NA,NA,158.995,58.995,700.52,0.1045136,0.0193826,0.0791969,0.0918402,0.286306,0.3539672,0.516249,175.74,116.69,964.31,0.0711411,0.1104016,0.252134,0.4284185,194.89,0.2753696,978.5,0.2753696,-0.0170673,0.1583064,0.4842785,8.92271,20.57514,29.93119,185.6175,159.111,0.451756,909.2,0.451756,-0.0933474,0.2106131,0.829846,12.95276,23.6942,44.49475,222.8675,133.815,-0.1506683,-0.1188175,-0.0775476,14.04096,21.54593,35.19149,171.15659,301.15,4.03033,3.16963,3.971529,4.42426,1.94294,1.2751666,0.20219,0.452467,0.366385,0.282939,0.648193,0.618882
1981,409.62,139.62,18.36659,123.91708,175.985,65.985,859.22,0.0831638,-0.030956,-0.104997,-0.06721746,0.1040484,0.241136,0.1460724,193.71,130.29,1143.89,0.1078316,-0.0654941,0.1428453,0.6030624,210.73,0.5890254,1051.56,0.5890254,0.0059691,0.1512589,1.0634137,7.12142,19.27259,25.44545,197.978174,161.306,0.72926,905.65,0.72926,-0.0983268,0.235587,1.2384,9.11677,21.89633,29.36255,236.5487,134.546,0.0853716,-0.1533132,-0.1161989,11.0362443,21.95239,14.165602,231.4725,330.39,3.3931,2.6951774,3.79257,4.29128,0.831977,0.651235,0.299488,0.457888,0.368431,0.426262,0.95785,1.059464
1982,414.65,144.65,18.843741,111.79014,178.739,63.739,919.24,0.0440956,0.013611888,0.0270683,0.1134971,-0.355108,-0.0248002,-0.0320129,182.54,127.43,1168,0.0652922,0.1907116,-0.1791116,0.0754871,202.59,0.1081674,1006.96,0.1081674,0.0223338,0.246894,0.0651531,8.69324,16.021048,35.2441,156.0629,159.023,0.368861,884.13,0.368861,-0.0511249,0.339763,0.619833,9.49404,14.648643,35.6048,157.4351,134.324,-0.7688145,-0.2187585,-0.1657692,10.48385,18.56957,23.481481,193.7409,333.78,3.19732,2.90209,3.53882,5.63156,2.825276,2.229591,0.220539,0.407568,0.265041,0.403744,0.705116,0.770946
1983,402.716,137.716,19.08424,164.14706,200.098,85.098,1252.11,0.2101462,0.1210266,-0.096895,-0.0683822,-0.299527,-0.1022362,-0.181954,232.5,171.66,1544.09,0.159504,-0.0468319,-0.359829,0.175716,265.06,-0.0069455,1315.87,-0.0069455,0.0113967,-0.0236565,1.052042,9.5674,17.545473,21.02795,89.35898,198.78,0.520184,1053.19,0.520184,-0.163201,0.1176764,0.964338,10.66309,19.12909,22.33466,114.5131,163.599,-0.721671,-0.1396506,-0.265794,11.05451,20.578357,14.95642,120.75369,406.21,5.14914,4.86268,5.91814,8.4838,5.85099,5.3469,0.346314,0.649418,0.784786,0.46263,0.571803,0.448151
1984,430.863,165.863,15.61453,46.81485,167.592,57.592,916.35,0.0159859,-0.0920012,0.01205,0.0782576,-0.112792,0.1240194,0.7080038,192.96,129.31,1205.45,-0.021499,0.0263342,-0.0947652,0.8978838,212.97,0.303197,1129.38,0.303197,-0.1905553,0.0872069,0.8789088,11.054651,23.456028,34.827263,291.9928,162.631,0.571948,949.75,0.571948,-0.274355,0.140269,1.115026,10.7862,21.6029,31.46128,287.895,129.868,-0.559384,0.0413325,-0.1598935,9.33163,17.28357,14.2098665,176.35176,379.84,4.00936,2.75087,3.443171,6.30746,3.63429,3.23480618,0.198948,0.573818,0.313486,0.350815,1.03983,0.514412
1985,414.115,144.115,16.64031,85.80246,179.578,64.578,1081.08,0.251291,0.0956226,0.2464854,0.192914,-0.0142159,0.2143614,0.2484411,183.49,130.37,1348.81,0.235877,0.1798728,-0.0895479,-0.0081089,202.87,-0.0486549,1207.83,-0.0486549,0.1026451,0.0946464,-0.2368249,9.057334,17.35595,48.16248,235.7466,156.857,0.2086959,1015.58,0.2086959,-0.0183407,0.0130687,0.268751,9.616914,16.43699,47.74688,235.2936,129.792,-0.84396,-0.065457,-0.04381859,9.278676,15.692707,18.01647,141.6936,346.47,2.73988,1.511609,1.4109461,4.61245,2.320935,1.718588,0.202532,0.414284,0.318212,0.340439,0.497295,0.640164
1986,397.292,132.292,19.7132124,128.206594,182.915,67.915,809.26,-0.0297746,-0.0724315,-0.118927,-0.090826,-0.206981,0.0065745,-0.354309,187.63,130.34,1016.01,-0.0483722,-0.0015775,-0.0687063,-0.282476,202.5,0.3007403,936.91,0.3007403,-0.0569854,0.136989,0.483646,7.59445,18.6809,20.60668,164.372,158.072,0.4093381,850.52,0.4093381,-0.0774179,0.2470719,0.9163213,8.79378,18.77648,23.46723,183.84507,138.796,-0.68881,-0.158087,-0.2118163,10.06128,17.09295,15.02902,158.2219,344.45,3.35207,3.05985,3.4726295,5.38196,3.05785,2.64213,0.195824,0.447137,0.48149,0.360964,0.475352,0.492871
1987,398.066,133.066,18.66354,122.24506,179.808,69.808,1024.9,0.0707096,-0.0185352,-0.000684999999999998,0.0285242,-0.042244,0.1116368,0.82731,195.26,136.28,1322.69,0.1666446,0.0028277,-0.1118,0.9743,223.15,0.0141893,1159.67,0.0141893,0.1926655,0.1102798,0.960519,7.928891,15.92654,23.76656,146.14,170.04,0.411704,1014.3,0.411704,0.1392025,0.3110411,1.91947,7.659694,13.26704,21.50643,132.1036,143.645,0.859947,-0.1497449,0.0319274,8.610086,14.99734,11.6199559,101.17061,351.34,4.13947,2.97266,3.544771,5.50524,2.955287,2.157297,0.217026,0.414749,0.528833,0.337415,0.561013,0.747323
1988,421.694,151.694,20.79578,112.4505,182.426,67.426,955.69,0.177148,0.0432013,-0.0332154,0.0315974,-0.124883,0.0746075,0.33789,185.7,133.43,1143.55,0.1698462,0.0585,-0.0733649,0.67981,207.23,0.0713435,964.44,0.0713435,0.1146726,0.0851281,0.866501,11.33504,22.78207,38.3681,248.542701,157.533,0.3326382,849.11,0.3326382,0.052748,0.2578364,1.18364,13.01999,24.75319,42.2513,294.3557,129.274,0.6569413,0.0011365,0.0399317,13.439377,24.84033,32.09582,259.01888,312.7,3.18809,1.8587145,2.19374,2.90177,0.540746,0.6413955,0.196573,0.371784,0.256826,0.31465,0.606928,0.567741
1989,392.132,127.132,20.31767,142.91244,176.119,61.119,920.48,0.184696,0.0488268,0.160779,0.188369,0.370671,0.560209,0.919573,158.19,113.147,1079.11,0.1399497,0.1835056,0.5802524,1.272683,173.41,0.636073,921.63,0.636073,-0.0202187,0.1501324,1.375193,12.224649,19.44656,60.93448,253.8064,141.071,0.993299,814.79,0.993299,-0.1461358,0.2235138,1.761102,14.073459,20.25199,57.5646,250.7048,125.773,1.280417,-0.0158544,0.0166131,15.74669,28.58451,32.10251,291.69421,334.48,2.08786,0.970107,1.5155127,4.78596,1.621362,1.302659,0.162592,0.296956,0.229508,0.370512,0.54159,0.428126
1990,394.551,129.551,18.85352,124.1258,173.886,63.886,902.07,-0.0916455,-0.132527,0.2012847,0.1972461,0.3246799,0.42382,0.209137,170.95,119.95,1101.36,-0.0538291,0.269052,0.501216,0.389257,191.58,0.685342,998.55,0.685342,-0.0664656,0.339167,0.823779,10.266342,17.670811,38.94586,230.95389,153.251,0.918698,888.5,0.918698,-0.0781897,0.442074,1.613535,10.832203,18.987239,30.8219,234.13719,135.65,0.985597,-0.0362495,0.0560886,13.952643,20.22281,16.16238,137.41587,348.81,3.18577,1.63657,1.8088564,4.87528,2.194603,1.679048,0.145989,0.271686,0.304614,0.392324,0.405314,0.397936
1991,412.213,142.213,19.35085,115.12723,169.549,59.549,932.65,-0.0360357,-0.1280278,0.0158085,0.0636629,0.293178,0.406672,-0.180539,178.83,121.95,1189.35,-0.0853989,0.0953416,0.3454664,-0.104,196.41,0.402065,1045.91,0.402065,-0.1237839,0.2677981,0.238658,14.1836,25.1539,73.969,405.911,147.931,0.6875747,909.18,0.6875747,-0.1188794,0.4054193,1.00937,14.70184,26.85918,77.0094,452.9786,121.674,0.356914,-0.0014093,-0.0252983,13.64911,23.3757,49.373642,321.7161,307.29,3.49474,1.952888,1.924892,4.14006,1.696279,0.858249,0.171011,0.31941,0.326349,0.244398,0.47259,0.478172
1992,396.589,126.589,24.69439,202.67617,189.781,74.781,951.5,0.0370328,-0.0682355,0.0621194,0.0153711,0.725122,0.66763,0.1807811,206.95,145.37,1133.88,0.0312787,0.0127519,0.699461,0.3477811,228.18,0.3044975,909.11,0.3044975,0.0336577,-0.0490468,0.5770961,7.54672,9.208004,8.24841,35.57098,177.49,0.4610721,762.31,0.4610721,0.0372263,0.1205424,1.1962331,10.88709,14.98954,12.01171,66.61273,150.916,1.74748,-0.0056501,0.0753945,13.85903,21.69004,10.09018,85.63282,385.92,6.0652,5.02412,5.44532,6.0117,3.00827,2.37705,0.207611,0.420178,0.502231,0.412769,0.328711,0.551086
1993,426.584,161.584,19.56994,54.86663,175.419,65.419,871.77,0.108344,0.051502,0.0137382,-0.0045127,0.128157,0.223628,0.27384,194.29,132.79,1106.82,0.1641705,0.0238923,0.225385,0.84815,214.49,0.4253975,943.4,0.4253975,0.1100509,0.2622691,1.371062,12.25139,14.92852,28.9497,143.6922,159.169,0.8451379,817.06,0.8451379,0.0309463,0.3912615,1.709634,14.59396,21.73928,31.25385,180.1148,133.08,1.948336,0.04583525,0.1981214,11.92991,21.22819,13.08676,120.7135,364.3,4.24583,3.552112,3.8722,6.18608,3.15259,2.60341,0.189478,0.38528,0.454041,0.327119,0.420351,0.364454
1994,405.819,135.819,13.891282,25.87513,172.022,62.022,947.86,0.0527281,-0.0416387,0.1478033,0.1021081,0.2360117,0.434907,0.5433082,198.21,134.45,1192.14,-0.0040069,0.2620345,0.484776,0.9405682,219.42,0.933012,1051.78,0.933012,-0.1302514,0.4391008,1.055664,9.215995,19.4144,32.82993,173.7171,159.622,1.26954,877.15,1.26954,-0.2238677,0.512295,1.222087,10.38825,26.1002,36.0586,280.3,126.567,1.333198,0.0206209,0.1044318,11.49992,26.0063,20.043713,241.06628,345.44,3.75953,2.480494,2.663266,5.48352,2.0575974,1.481594,0.18773,0.280491,0.281748,0.38068,0.483386,0.326731
1995,403.641,133.641,21.033422,86.49646,187.337,72.337,888.38,-0.0904233,-0.1052472,0.2464321,0.0833693,0.485226,0.546849,0.3461796,203.93,145.23,1140.56,-0.1090827,0.19943,0.6228843,0.7282796,225,0.477106,944.12,0.477106,-0.0780162,0.062857,0.3453886,7.28659,15.85592,25.55574,159.50998,168.825,0.5468992,851.04,0.5468992,-0.1003931,0.08856944,0.885823,9.842962,20.73159,34.3605,228.806,134.027,1.527359,-0.1019339,0.0838948,12.00503,27.2314,23.51326,192.6899,339.46,4.28791,3.957333,5.149394,4.83739,2.075806,1.4374808,0.272221,0.657826,0.82151,0.334392,0.42423,0.317902
