year,UWpre.a,LSTyolk,CSTlarv.s,CSTlatelarv.s,EKE.ms.c,EKEpre.ms.c,PREYpre.her,PREYlarv,PREYlatelarv,PREDpjuv.age.0.csl,PREDpjuv.age.0.atf,logPRED.pjuv.age0.age1.hake,BIpre,NINOpre,NPGOpre_4_9,PDOpre,SPTRpre,BI,NINO4_9,NPGO_4_9,PDO_1_4,PDO_4_9,SPTR,STORM,STORMD,STORMB,CALM
1980,NA,0.009004786,-0.00056891,-0.003011206,0.017057711,NA,3713.288654,22761.346,1604.538676,14878,65478,4.127296952,0.85,0.2,-0.97,0.75,65,-0.42,0.26,-0.62,0.95,0.55,76,13.65646259,5.361008868,35.231908,0.238095238
1981,0.340122037,0.00476151,0.00019897,-0.00327756,0.025206579,0.017057711,1639.519137,23545.645,977.8768095,16701,70447,7.025121961,-0.42,0.26,-0.62,0.55,76,-0.93,-0.25,-0.28,1.12,1.06,83,11.23469388,5.395052843,45.15498664,0.302721088
1982,0.348958167,-0.005970387,0.00074446,-0.001704163,0.018555684,0.025206579,1430.918187,15260.096,520.7223016,20540,75233,2.927383623,-0.93,-0.25,-0.28,1.06,83,1.39,0.86,-0.74,0.14,0.04,104,11.58163265,4.272603863,38.67611253,0.93877551
1983,0.36008,-0.0119943,0.00037989,-0.005264548,0.014661615,0.018555684,1135.743324,4304.52,577.8059381,11595,82442,3.069254408,1.39,0.86,-0.74,0.04,104,-1.57,0.49,-0.34,1.42,2.05,91,13.75510204,4.497184767,35.99689423,0.636054422
1984,0.294613774,-0.00315884,-0.006146945,-0.009145167,0.027363947,0.014661615,1982.131109,36367.32568,880.3969866,13550,89397,3.706561784,-1.57,0.49,-0.34,2.05,91,-1.72,-0.33,0.75,1.5,0.58,109,11.56802721,6.460242549,43.48568999,0.299319728
1985,0.308153889,-0.00298493,0.003421503,-0.000611357,0.013086711,0.027363947,2567.424152,23162.289,1113.066477,15224,96783,7.302190865,-1.72,-0.33,0.75,0.58,109,1.78,-0.62,-0.09,0.74,0.45,45,11.47619048,5.183987285,42.59602972,0.863945578
1986,0.371947404,-0.00229021,-0.001899513,-0.002497352,0.012188513,0.013086711,2938.147355,19584.009,1104.5989,17896,101771,2.563467587,1.78,-0.62,-0.09,0.45,45,-1.57,0.16,-0.81,1.62,0.9,86,11.43537415,4.963463719,42.46940901,0.989795918
1987,0.352142264,-0.003726667,0.006422183,0.004490403,0.0147635,0.012188513,1982.937228,12790.908,874.4315147,19796,108123,2.868236118,-1.57,0.16,-0.81,0.9,86,-0.75,1.34,0.35,1.97,2,72,10.35034014,4.636591958,47.35033305,0.636054422
1988,0.385107037,-0.002445497,0.00382242,0.001758267,0.015971789,0.0147635,5614.100257,19136.444,564.9966739,19452,113497,6.339934522,-0.75,1.34,0.35,2,72,-0.84,-0.99,1.59,1.13,0.56,85,11.52721088,6.254595886,43.55257734,0.547619048
1989,0.383352264,0.019341747,-0.000673957,-0.004714058,0.013886923,0.015971789,1639.227078,15751.338,644.60556,23757,117770,5.269919296,-0.84,-0.99,1.59,0.56,85,0.64,-0.42,0.74,-0.78,0.25,94,10.70748299,4.739332281,48.25712565,1.176870748
